Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 211, Diff=0.000205828
Step 212, Diff=0.000205058
Step 213, Diff=0.000204293
Step 214, Diff=0.000203535
Step 215, Diff=0.000202783
Step 216, Diff=0.000202037
Step 217, Diff=0.000201298
Step 218, Diff=0.000200564
Step 219, Diff=0.000199836
Step 220, Diff=0.000199114
Step 221, Diff=0.000198398
Step 222, Diff=0.000197687
Step 223, Diff=0.000196982
Step 224, Diff=0.000196283
Step 225, Diff=0.000195589
Step 226, Diff=0.0001949
Step 227, Diff=0.000194217
Step 228, Diff=0.000193539
Step 229, Diff=0.000192867
Step 230, Diff=0.000192199
Step 231, Diff=0.000191537
Step 232, Diff=0.000190879
Step 233, Diff=0.000190227
Step 234, Diff=0.00018958
Step 235, Diff=0.000188937
Step 236, Diff=0.000188299
Step 237, Diff=0.000187666
Step 238, Diff=0.000187038
Step 239, Diff=0.000186414
Step 240, Diff=0.000185795
Step 241, Diff=0.00018518
Step 242, Diff=0.00018457
Step 243, Diff=0.000183965
Step 244, Diff=0.000183363
Step 245, Diff=0.000182766
Step 246, Diff=0.000182174
Step 247, Diff=0.000181585
Step 248, Diff=0.000181001
Step 249, Diff=0.000180421
Step 250, Diff=0.000179845
Step 251, Diff=0.000179273
Step 252, Diff=0.000178705
Step 253, Diff=0.00017814
Step 254, Diff=0.00017758
Step 255, Diff=0.000177024
Step 256, Diff=0.000176472
Step 257, Diff=0.000175923
Step 258, Diff=0.000175378
Step 259, Diff=0.000174837
Step 260, Diff=0.000174299
Step 261, Diff=0.000173766
Step 262, Diff=0.000173235
Step 263, Diff=0.000172709
Step 264, Diff=0.000172185
Step 265, Diff=0.000171666
Step 266, Diff=0.000171149
Step 267, Diff=0.000170637
Step 268, Diff=0.000170127
Step 269, Diff=0.000169621
Step 270, Diff=0.000169118
Step 271, Diff=0.000168619
Step 272, Diff=0.000168122
Step 273, Diff=0.000167629
Step 274, Diff=0.000167139
Step 275, Diff=0.000166652
Step 276, Diff=0.000166169
Step 277, Diff=0.000165688
Step 278, Diff=0.000165211
Step 279, Diff=0.000164736
Step 280, Diff=0.000164265
Step 281, Diff=0.000163796
Step 282, Diff=0.00016333
Step 283, Diff=0.000162868
Step 284, Diff=0.000162408
Step 285, Diff=0.000161951
Step 286, Diff=0.000161496
Step 287, Diff=0.000161045
Step 288, Diff=0.000160596
Step 289, Diff=0.00016015
Step 290, Diff=0.000159707
Step 291, Diff=0.000159267
Step 292, Diff=0.000158829
Step 293, Diff=0.000158394
Step 294, Diff=0.000157961
Step 295, Diff=0.000157531
Step 296, Diff=0.000157104
Step 297, Diff=0.000156679
Step 298, Diff=0.000156256
Step 299, Diff=0.000155836
Step 300, Diff=0.000155419
Step 301, Diff=0.000155004
Step 302, Diff=0.000154592
Step 303, Diff=0.000154181
Step 304, Diff=0.000153774
Step 305, Diff=0.000153368
Step 306, Diff=0.000152965
Step 307, Diff=0.000152564
Step 308, Diff=0.000152166
Step 309, Diff=0.00015177
Step 310, Diff=0.000151376
Step 311, Diff=0.000150984
Step 312, Diff=0.000150595
Step 313, Diff=0.000150207
Step 314, Diff=0.000149822
Step 315, Diff=0.000149439
Step 316, Diff=0.000149058
Step 317, Diff=0.00014868
Step 318, Diff=0.000148303
Step 319, Diff=0.000147929
Step 320, Diff=0.000147556
Step 321, Diff=0.000147186
Step 322, Diff=0.000146817
Step 323, Diff=0.000146451
Step 324, Diff=0.000146087
Step 325, Diff=0.000145724
Step 326, Diff=0.000145364
Step 327, Diff=0.000145005
Step 328, Diff=0.000144649
Step 329, Diff=0.000144294
Step 330, Diff=0.000143942
Step 331, Diff=0.000143591
Step 332, Diff=0.000143242
Step 333, Diff=0.000142895
Step 334, Diff=0.000142549
Step 335, Diff=0.000142206
Step 336, Diff=0.000141864
Step 337, Diff=0.000141524
Step 338, Diff=0.000141186
Step 339, Diff=0.00014085
Step 340, Diff=0.000140515
Step 341, Diff=0.000140182
Step 342, Diff=0.000139851
Step 343, Diff=0.000139522
Step 344, Diff=0.000139194
Step 345, Diff=0.000138868
Step 346, Diff=0.000138543
Step 347, Diff=0.000138221
Step 348, Diff=0.000137899
Step 349, Diff=0.00013758
Step 350, Diff=0.000137262
Step 351, Diff=0.000136946
Step 352, Diff=0.000136631
Step 353, Diff=0.000136318
Step 354, Diff=0.000136006
Step 355, Diff=0.000135696
Step 356, Diff=0.000135388
Step 357, Diff=0.000135081
Step 358, Diff=0.000134775
Step 359, Diff=0.000134471
Step 360, Diff=0.000134169
Step 361, Diff=0.000133868
Step 362, Diff=0.000133568
Step 363, Diff=0.00013327
Step 364, Diff=0.000132974
Step 365, Diff=0.000132679
Step 366, Diff=0.000132385
Step 367, Diff=0.000132092
Step 368, Diff=0.000131801
Step 369, Diff=0.000131512
Step 370, Diff=0.000131224
Step 371, Diff=0.000130937
Step 372, Diff=0.000130652
Step 373, Diff=0.000130367
Step 374, Diff=0.000130085
Step 375, Diff=0.000129803
Step 376, Diff=0.000129523
Step 377, Diff=0.000129244
Step 378, Diff=0.000128967
Step 379, Diff=0.000128691
Step 380, Diff=0.000128416
Step 381, Diff=0.000128142
Step 382, Diff=0.00012787
Step 383, Diff=0.000127599
Step 384, Diff=0.000127329
Step 385, Diff=0.00012706
Step 386, Diff=0.000126793
Step 387, Diff=0.000126527
Step 388, Diff=0.000126262
Step 389, Diff=0.000125998
Step 390, Diff=0.000125735
Step 391, Diff=0.000125474
Step 392, Diff=0.000125214
Step 393, Diff=0.000124955
Step 394, Diff=0.000124697
Step 395, Diff=0.00012444
Step 396, Diff=0.000124185
Step 397, Diff=0.00012393
Step 398, Diff=0.000123677
Step 399, Diff=0.000123425
Step 400, Diff=0.000123174
Step 401, Diff=0.000122924
Step 402, Diff=0.000122675
Step 403, Diff=0.000122427
Step 404, Diff=0.00012218
Step 405, Diff=0.000121935
Step 406, Diff=0.00012169
Step 407, Diff=0.000121447
Step 408, Diff=0.000121204
Step 409, Diff=0.000120963
Step 410, Diff=0.000120722
Step 411, Diff=0.000120483
Step 412, Diff=0.000120245
Step 413, Diff=0.000120008
Step 414, Diff=0.000119771
Step 415, Diff=0.000119536
Step 416, Diff=0.000119302
Step 417, Diff=0.000119068
Step 418, Diff=0.000118836
Step 419, Diff=0.000118605
Step 420, Diff=0.000118375
Step 421, Diff=0.000118145
Step 422, Diff=0.000117917
Step 423, Diff=0.000117689
Step 424, Diff=0.000117463
Step 425, Diff=0.000117237
Step 426, Diff=0.000117013
Step 427, Diff=0.000116789
Step 428, Diff=0.000116566
Step 429, Diff=0.000116344
Step 430, Diff=0.000116123
Step 431, Diff=0.000115903
Step 432, Diff=0.000115684
Step 433, Diff=0.000115466
Step 434, Diff=0.000115249
